Field	Description
sequence_id	"Label of the allele"
sequences	Overall number of sequences assigned to this allele
closest_reference	"For inferred alleles, the closest reference gene and allele"
closest_host	"For inferred alleles, the closest reference gene and allele that is in the subject's inferred genotype"
nt_diff	"For inferred alleles, the number of nucleotides that differ between this sequence and the closest reference gene and allele"
nt_diff_host	"For inferred alleles, the number of nucleotides that differ between this sequence and the closest reference gene and allele that is in the subject's inferred genotype"
nt_substitutions	"For inferred alleles,  comma-separated list of nucleotide substitutions (e.g. G112A) between this sequence and the closest reference gene and allele (using IMGT-gapped sequences for V-genes)."
aa_diff	"For inferred alleles, the number of amino acids that differ between this sequence and the closest reference gene and allele"
aa_substitutions	"For inferred alleles, the list of amino acid substitutions (e.g. A96N) between this sequence and the closest reference gene and allele (using IMGT-gapped sequences for V-genes)."
unmutated_sequences	The number of sequences exactly matching this unmutated sequence
assigned_unmutated_frequency	"The number of sequences exactly matching this allele divided by the number of sequences assigned to this allele, x 100"
unmutated_umis	The number of molecules (identified by Unique Molecular Identifiers) exactly matching this unmutated sequence (if UMIs were used)
allelic_percentage	"The number of sequences exactly matching the sequence of this allele divided by the number of sequences exactly matching any allele of this specific gene, x 100"
unmutated_frequency	"The number of sequences exactly matching this sequence divided by the number of sequences exactly matching any allele of any gene, x 100"
unique_vs	"The number of V allele calls (i.e., unique allelic sequences) found associated with this allele"
unique_ds	"The number of D allele calls (i.e., unique allelic sequences) found associated with this allele"
unique_js	"The number of J allele calls (i.e., unique allelic sequences) found associated with this allele"
unique_cdr3s	The number of unique CDR3s found associated with this allele
unique_vs_unmutated	"The number of V allele calls (i.e., unique allelic sequences) associated with unmutated sequences of this allele"
unique_ds_unmutated	"The number of D allele calls (i.e., unique allelic sequences) associated with unmutated sequences of this allele"
unique_js_unmutated	"The number of J allele calls (i.e., unique allelic sequences) associated with unmutated sequences of this allele"
unique_cdr3s_unmutated	The number of unique CDR3s associated with unmutated sequences of this allele
haplotyping_gene	The locus (or loci) from which haplotyping was inferred (e.g. IGHJ6)
haplotyping_ratio	The ratio (expressed as two percentages) with which the two inferred haplotypes were found (e.g. 60:40)
nt_sequence	The consensus sequence provided by the inference tool 
